2022-05-18 11:05:868 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (c551c99b6e6086d4bbeb05ccf11251eb)] -> css selector: .listing-search-title]
2022-05-18 12:05:986 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:145 INFO  HomePage :27 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:269 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 12:05:443 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:526 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:638 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:731 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:941 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:145 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (c38b79eb7686160f9815613d3cfbaa8a)] -> css selector: .listing-search-title]
2022-05-18 12:05:462 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:277 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:324 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 12:05:408 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:489 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:563 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:645 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:735 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:221 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (c4810654d9e02806a2fb20d810390e5f)] -> css selector: .listing-search-title]
2022-05-18 12:05:21 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:285 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (22ca106d8b21c8da67c39760ee25ba4f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:115 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:482 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:539 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:881 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:955 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (8802afdeedae64509fc543b747495511)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:924 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (8802afdeedae64509fc543b747495511)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 12:05:06 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:55 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:128 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:237 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:310 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (8802afdeedae64509fc543b747495511)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:776 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (8802afdeedae64509fc543b747495511)] -> css selector: .listing-search-title]
2022-05-18 12:05:187 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:78 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (fcd6379f6c285cf046e2572fbdc7cae5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:827 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:903 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:962 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:26 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:131 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (fcd6379f6c285cf046e2572fbdc7cae5)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:370 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (fcd6379f6c285cf046e2572fbdc7cae5)] -> css selector: .listing-search-title]
2022-05-18 12:05:110 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:948 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (3b6eb85af6c6e9307e58aae905182c0b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:602 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (3b6eb85af6c6e9307e58aae905182c0b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-18 12:05:706 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:792 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:843 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:992 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:62 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (3b6eb85af6c6e9307e58aae905182c0b)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:845 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (3b6eb85af6c6e9307e58aae905182c0b)] -> css selector: .listing-search-title]
2022-05-18 12:05:567 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-18 12:05:607 INFO  HomePage :31 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (6bd9a5d2c55a8b33127b6913e3b178ba)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 12:05:987 INFO  HomePage :49 - select make : Jeep
2022-05-18 12:05:132 INFO  HomePage :55 - select model : Cherokee
2022-05-18 12:05:195 INFO  HomePage :61 - select model : ACT-All
2022-05-18 12:05:275 INFO  HomePage :66 - select model : $20,000
2022-05-18 12:05:348 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (6bd9a5d2c55a8b33127b6913e3b178ba)] -> xpath: //input[@id='search-submit']]
2022-05-18 12:05:210 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (6bd9a5d2c55a8b33127b6913e3b178ba)] -> css selector: .listing-search-title]
2022-05-20 12:05:108 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:511 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (4440df42e69f3d8ff36758823d918eb9)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:612 INFO  HomePage :37 - Clicking on Search Car Option : [[ChromeDriver: chrome on WINDOWS (4440df42e69f3d8ff36758823d918eb9)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:249 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (4440df42e69f3d8ff36758823d918eb9)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-20 12:05:475 INFO  HomePage :49 - select make : Jeep
2022-05-20 12:05:541 INFO  HomePage :55 - select model : Cherokee
2022-05-20 12:05:624 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:719 INFO  HomePage :66 - select model : $20,000
2022-05-20 12:05:711 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (4440df42e69f3d8ff36758823d918eb9)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:865 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (4440df42e69f3d8ff36758823d918eb9)] -> css selector: .listing-search-title]
2022-05-20 12:05:615 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:242 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (4726110855eb25d0338a71c3aa60385d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:352 INFO  HomePage :37 - Clicking on Search Car Option : [[ChromeDriver: chrome on WINDOWS (4726110855eb25d0338a71c3aa60385d)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:153 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (4726110855eb25d0338a71c3aa60385d)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-20 12:05:211 INFO  HomePage :49 - select make : BMW
2022-05-20 12:05:342 INFO  HomePage :55 - select model : 116i
2022-05-20 12:05:403 INFO  HomePage :61 - select model : NSW-All
2022-05-20 12:05:464 INFO  HomePage :66 - select model : $30,000
2022-05-20 12:05:700 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (4726110855eb25d0338a71c3aa60385d)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:824 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (4726110855eb25d0338a71c3aa60385d)] -> css selector: .listing-search-title]
2022-05-20 12:05:556 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:793 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:698 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:944 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (82423b522d7fee9ae691f4ee74933dc3)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:768 INFO  HomePage :37 - Clicking on Search Car Option : [[ChromeDriver: chrome on WINDOWS (82423b522d7fee9ae691f4ee74933dc3)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:906 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (82423b522d7fee9ae691f4ee74933dc3)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-20 12:05:968 INFO  HomePage :49 - select make : Audi
2022-05-20 12:05:27 INFO  HomePage :55 - select model : A1
2022-05-20 12:05:107 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:165 INFO  HomePage :66 - select model : $30,000
2022-05-20 12:05:234 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (82423b522d7fee9ae691f4ee74933dc3)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:287 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (82423b522d7fee9ae691f4ee74933dc3)] -> css selector: .listing-search-title]
2022-05-20 12:05:996 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:334 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (ef0e720ce84afd3fe3fee1f9617ae4ac)] -> xpath: //a[contains(text(),'buy + sell')]]
